modelo,,faixa,prevista,observada,n,peso
"aluno, teste 2025",0,0.1 a 0.2,0.162,1.0,2,16.0
"aluno, teste 2025",1,0.2 a 0.3,0.281,0.408,22629,28030.988
"aluno, teste 2025",2,0.3 a 0.4,0.355,0.477,179880,214773.94
"aluno, teste 2025",3,0.4 a 0.5,0.457,0.543,255932,302892.426
"aluno, teste 2025",4,0.5 a 0.6,0.55,0.61,461398,528246.57
"aluno, teste 2025",5,0.6 a 0.7,0.65,0.684,445982,498618.452
"aluno, teste 2025",6,0.7 a 0.8,0.745,0.758,376993,412896.612
"aluno, teste 2025",7,0.8 a 0.9,0.837,0.838,174645,186475.0
"aluno, teste 2025",8,0.9 a 1.0,0.945,0.947,48634,50214.0
"município, risco no backtest",0,0.0 a 0.2,0.09,0.071,1500,1500.0
"município, risco no backtest",1,0.2 a 0.4,0.288,0.158,860,860.0
"município, risco no backtest",2,0.4 a 0.6,0.494,0.254,591,591.0
"município, risco no backtest",3,0.6 a 0.8,0.707,0.321,810,810.0
"município, risco no backtest",4,0.8 a 1.0,0.913,0.532,1678,1678.0
"município, risco com o efeito ano",0,0.0 a 0.2,0.067,0.117,2686,2686.0
"município, risco com o efeito ano",1,0.2 a 0.4,0.293,0.321,738,738.0
"município, risco com o efeito ano",2,0.4 a 0.6,0.498,0.339,590,590.0
"município, risco com o efeito ano",3,0.6 a 0.8,0.699,0.455,525,525.0
"município, risco com o efeito ano",4,0.8 a 1.0,0.912,0.616,900,900.0
