,municípios,MAE por município (p.p.),MAE UF excluída (p.p.),viés UF excluída (p.p.),AUC risco por município,AUC risco UF excluída
RS,450.0,11.106,21.067,19.402,0.726,0.71
PB,221.0,14.202,14.544,-0.51,0.767,0.766
AP,16.0,14.703,14.415,-1.428,0.429,0.492
BA,407.0,6.586,13.239,12.252,0.667,0.689
PI,224.0,12.63,12.705,-4.09,0.715,0.722
AM,60.0,11.884,12.552,4.027,0.494,0.52
AL,102.0,9.162,12.338,8.906,0.56,0.615
AC,22.0,9.976,12.033,9.115,0.624,0.598
TO,139.0,11.069,11.963,6.585,0.752,0.765
SE,75.0,8.68,11.764,8.783,0.7,0.675
MA,217.0,10.457,11.647,-5.461,0.732,0.721
RN,163.0,9.713,11.169,6.71,0.756,0.766
MG,826.0,7.603,11.103,-7.579,0.823,0.76
GO,245.0,7.015,10.783,-9.438,0.651,0.662
MT,140.0,9.955,10.227,-3.188,0.738,0.752
SP,626.0,8.22,10.223,6.141,0.674,0.65
CE,184.0,4.111,8.98,-8.37,0.899,0.831
PE,184.0,7.248,8.65,-5.963,0.782,0.783
SC,281.0,8.329,8.301,1.114,0.659,0.666
RO,52.0,7.18,7.705,-3.249,0.699,0.673
MS,79.0,7.049,7.178,-1.533,0.835,0.853
PA,143.0,6.64,7.025,-3.143,0.621,0.634
ES,78.0,5.213,6.652,-5.35,0.647,0.686
PR,399.0,6.374,6.606,1.31,0.691,0.657
RJ,92.0,4.884,5.758,-1.366,0.649,0.548
Brasil,5425.0,8.486,11.282,1.335,0.797,0.642
