uf,alunos,AUC folds por município,AUC estado nunca visto,diferença
AC,1648.0,0.558,0.6,0.042
AL,5040.0,0.619,0.618,-0.001
AM,7558.0,0.583,0.582,-0.002
AP,1866.0,0.552,0.544,-0.008
BA,16992.0,0.564,0.561,-0.003
CE,14289.0,0.732,0.72,-0.012
DF,3571.0,0.525,0.524,-0.001
ES,6825.0,0.616,0.618,0.002
GO,11412.0,0.621,0.62,-0.001
MA,10259.0,0.607,0.602,-0.005
MG,29264.0,0.594,0.588,-0.006
MS,6051.0,0.594,0.601,0.007
MT,7299.0,0.596,0.592,-0.004
PA,13326.0,0.593,0.588,-0.006
PB,5076.0,0.612,0.604,-0.007
PE,12191.0,0.593,0.595,0.002
PI,5039.0,0.643,0.64,-0.004
PR,19532.0,0.603,0.603,-0.0
RJ,20349.0,0.63,0.626,-0.004
RN,3662.0,0.576,0.579,0.003
RO,3178.0,0.589,0.599,0.011
RS,14510.0,0.597,0.6,0.003
SC,11133.0,0.617,0.617,0.0
SE,2972.0,0.595,0.591,-0.003
SP,64180.0,0.605,0.6,-0.005
TO,2778.0,0.576,0.568,-0.008
