variavel,aumento_do_erro_pp,desvio
% alfabetizados no ano anterior,4.7149,0.0444
UF,1.1366,0.0242
IDEB anos iniciais (última edição),0.6147,0.0219
Participação na prova no ano anterior (%),0.3983,0.0235
Nota de português no Saeb 5o ano (última edição),0.22,0.0126
Salto necessário para a meta (p.p.),0.2074,0.0124
População (Censo 2022),0.1867,0.0119
IDEB anos iniciais (edição anterior),0.0965,0.0084
"Taxa de aprovação, anos iniciais (%)",0.0878,0.0024
"Taxa de abandono, anos iniciais (%)",0.0686,0.0055
Indicador de rendimento do IDEB (última edição),0.0591,0.0032
Alunos com INSE calculado,0.0543,0.0035
Alunos por turma no 2o ano,0.0536,0.0038
Peso da agropecuária na economia (%),0.0412,0.0026
Alunos nos níveis socioeconômicos baixos (%),0.0339,0.0039
Densidade demográfica (hab/km2),0.0291,0.0025
Peso dos serviços na economia (%),0.025,0.0021
Alunos em escolas rurais (%),0.0216,0.0019
Peso da indústria na economia (%),0.0204,0.0021
Variação do IDEB entre edições,0.0196,0.0021
"Docentes com curso superior, educação infantil (%)",0.0174,0.0023
"Docentes com formação adequada, educação infantil (%)",0.0173,0.0012
Alunos nos níveis socioeconômicos altos (%),0.0144,0.0042
Área (km²),0.0144,0.0019
"Taxa de reprovação, anos iniciais (%)",0.0142,0.001
Alunos por turma na pré-escola,0.0131,0.0028
Peso da administração pública na economia (%),0.0129,0.0018
"Docentes sem licenciatura, anos iniciais (%)",0.011,0.0009
Tendência do IDEB (pontos por edição),0.0095,0.006
"Docentes com formação adequada, anos iniciais (%)",0.0095,0.0019
"Alunos por turma, anos iniciais",0.0091,0.0025
Taxa de aprovação no 2o ano (%),0.0069,0.0003
PIB per capita (R$),0.0049,0.0052
Taxa de aprovação no 1o ano (%),0.0049,0.0014
Nível socioeconômico médio dos alunos (INSE),0.0023,0.0019
"Distorção idade-série, anos iniciais (%)",0.0013,0.0016
"Docentes com curso superior, anos iniciais (%)",0.0008,0.0011
Distorção idade-série no 2o ano (%),0.0007,0.0014
Capital de UF,0.0,0.0
