variavel,importancia_shap
% alfabetizados no ano anterior,6.4405
IDEB anos iniciais (última edição),1.7212
UF: SP,1.2491
UF: RS,1.2152
Participação na prova no ano anterior (%),0.9514
Salto necessário para a meta (p.p.),0.8824
População (Censo 2022),0.6812
Nota de português no Saeb 5o ano (última edição),0.6757
IDEB anos iniciais (edição anterior),0.6668
"Taxa de abandono, anos iniciais (%)",0.6293
Peso da agropecuária na economia (%),0.3951
Alunos nos níveis socioeconômicos baixos (%),0.3775
UF: PR,0.3635
Densidade demográfica (hab/km2),0.3242
Alunos com INSE calculado,0.3058
Alunos por turma no 2o ano,0.2934
Tendência do IDEB (pontos por edição),0.2557
UF: PB,0.2367
UF: PI,0.232
UF: GO,0.2243
Alunos nos níveis socioeconômicos altos (%),0.2179
"Taxa de aprovação, anos iniciais (%)",0.2175
PIB per capita (R$),0.216
Nível socioeconômico médio dos alunos (INSE),0.2058
UF: RN,0.194
Peso dos serviços na economia (%),0.1855
Variação do IDEB entre edições,0.172
Área (km²),0.1719
Sem informação: Participação na prova no ano anterior (%),0.1706
UF: BA,0.1601
Indicador de rendimento do IDEB (última edição),0.1519
Alunos em escolas rurais (%),0.1389
"Alunos por turma, anos iniciais",0.1376
"Docentes com formação adequada, educação infantil (%)",0.1351
"Docentes com curso superior, educação infantil (%)",0.1347
UF: SC,0.1315
"Distorção idade-série, anos iniciais (%)",0.124
UF: SE,0.1179
Peso da indústria na economia (%),0.115
UF: MT,0.1122
"Docentes com formação adequada, anos iniciais (%)",0.1058
Alunos por turma na pré-escola,0.1041
Taxa de aprovação no 1o ano (%),0.0925
UF: MA,0.0925
"Docentes sem licenciatura, anos iniciais (%)",0.0865
UF: MG,0.0835
Peso da administração pública na economia (%),0.0813
UF: RO,0.0753
"Taxa de reprovação, anos iniciais (%)",0.054
"Docentes com curso superior, anos iniciais (%)",0.0457
UF: TO,0.0396
Distorção idade-série no 2o ano (%),0.039
UF: AM,0.033
Taxa de aprovação no 2o ano (%),0.0144
UF: CE,0.0078
Sem informação: % alfabetizados no ano anterior,0.0048
UF: PE,0.0032
UF: ES,0.0026
Sem informação: Salto necessário para a meta (p.p.),0.0
UF: AP,0.0
Capital de UF,0.0
UF: AC,0.0
UF: AL,0.0
UF: PA,0.0
UF: MS,0.0
UF: RJ,0.0
