sigla_uf,municipios,em_risco,risco_medio,salto_mediano,% em risco
RS,476,329,0.636,10.09,69.0
SP,629,257,0.454,2.12,41.0
RJ,92,33,0.409,2.95,36.0
AM,60,14,0.34,6.79,23.0
SC,284,67,0.334,0.96,24.0
RN,163,46,0.323,3.325,28.0
SE,75,16,0.276,2.81,21.0
MA,217,31,0.242,-4.46,14.0
AP,16,1,0.239,-2.105,6.0
PE,184,23,0.238,-2.915,12.0
PA,143,6,0.207,2.57,4.0
CE,184,17,0.185,-13.425,9.0
MG,834,54,0.183,-8.12,6.0
MS,79,5,0.173,-4.32,6.0
ES,78,0,0.159,-6.79,0.0
PB,223,15,0.128,-11.02,7.0
BA,416,11,0.123,-2.42,3.0
AC,22,0,0.12,-9.065,0.0
TO,139,4,0.114,-4.84,3.0
PR,399,1,0.114,-8.715,0.0
PI,224,6,0.099,-15.415,3.0
RO,52,0,0.099,-10.755,0.0
GO,245,0,0.094,-12.14,0.0
MT,141,1,0.082,-11.6,1.0
AL,102,1,0.068,-6.895,1.0
